Job_title,Job_Profile
CEO,JP_1000
HR Manager,JP_1001
Graphic Designer,JP_1022
CTO,JP_1036
Associate Account Manager,JP_1015
Account Executive,JP_1029
Account Manager,JP_1016
"Director, Sales",JP_1030
Regional Sales Manager,JP_1031
AR Specialist,JP_1002
AP Specialist,JP_1003
Sales Manager,JP_1032
"SVP, Sales",JP_1033
FP&A Analyst,JP_1004
"SVP, Customer Service",JP_1017
Coordinator,JP_1005
Senior Account Manager,JP_1018
"Manager, Customer Service",JP_1019
Sales Team Lead,JP_1034
HR Coordinator,JP_1006
Counsel,JP_1007
Programmatic Marketing Specialist,JP_1023
Copy Writer,JP_1024
IT,JP_1037
CS Operations Specialist,JP_1020
Software Engineer,JP_1038
Finance Coordinator,JP_1008
"Director, Engineering",JP_1039
Senior Software Engineer,JP_1040
"Associate, Sales",JP_1035
Accountant,JP_1009
"Specialist, Training and Development",JP_1010
"VP, Technology",JP_1041
"Associate, Marketing",JP_1025
"VP, Marketing",JP_1026
"Manager, Corporate",JP_1011
"VP, Corporate",JP_1012
"Director, Customer Service",JP_1021
HR Generalist,JP_1013
"Manager, Marketing",JP_1027
HR Analyst,JP_1014
"Director, Marketing",JP_1028
"Manager, Engineering",JP_1042
"Senior, Finance",JP_1050
"Senior, Copy Writer",JP_1044
"SVP, Technology",JP_1043
"Manager, Finance",JP_1047
"SVP, Marketing",JP_1046
"Director, Finance",JP_1052
Chieft Customer Officer,JP_1053
"Director, HR",JP_1051
Chief Human Resources Officer,JP_1049
Chief Marketing Officer,JP_1045
Chief Financial Officer,JP_1048
